,loss,accuracy,f1,f1_scores,precision,precision_scores,recall,recall_scores,valid_loss,valid_accuracy,valid_f1,valid_f1_scores,valid_precision,valid_precision_scores,valid_recall,valid_recall_scores,k,dimensions,sig_depth,method,input_channels,output_channels,features,standardise_method,include_features_in_path,embedding_dim,num_features,log_signature,swnu_hidden_dim,ffn_hidden_dim,dropout_rate,learning_rate,seed,BiLSTM,loss_function,gamma,k_fold,n_splits,augmentation_type,hidden_dim_aug,comb_method,batch_size,model_id
0,0.48821594259318185,0.5767397880554199,0.5689519860807759,[0.62689076 0.51101322],0.5752653635557187,[0.58190328 0.56862745],0.5717085610200364,[0.67941712 0.464     ],0.22535016834735871,0.7224199175834656,0.6812390924956371,[0.79581152 0.56666667],0.7013073133762788,[0.74876847 0.65384615],0.6745810055865922,[0.84916201 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.42006391637465534,0.583412766456604,0.5819524201660288,[0.60666067 0.55724417],0.5821629264799375,[0.59964413 0.56468172],0.5819216757741348,[0.61384335 0.55      ],0.19290599524974822,0.7224199175834656,0.6865991763898421,[0.79255319 0.58064516],0.6996011602610588,[0.75634518 0.64285714],0.6809069996713769,[0.83240223 0.52941176],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,3
0,0.4068993067040163,0.5967588424682617,0.5961716452751681,[0.58077304 0.61157025],0.6011607736030118,[0.63695652 0.56536503],0.599848816029144,[0.53369763 0.666     ],0.22464878857135773,0.6939501762390137,0.6615026893769611,[0.76630435 0.55670103],0.6664941338854382,[0.74603175 0.58695652],0.6585606309562931,[0.7877095  0.52941176],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.2492892785983927,0.6177312135696411,0.6053227372737039,[0.53534183 0.67530364],0.6515078642922136,[0.73566879 0.56734694],0.6273825136612021,[0.42076503 0.834     ],0.23724210560321807,0.6583629846572876,0.627403314917127,[0.73480663 0.52      ],0.6286941005910561,[0.72677596 0.53061224],0.6264103406725818,[0.74301676 0.50980392],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.44005506354219776,0.5938989520072937,0.5938897249667386,[0.59195402 0.59582543],0.5955147139262662,[0.62424242 0.566787  ],0.5954207650273224,[0.56284153 0.628     ],0.21642201840877534,0.7402135133743286,0.7090230789962693,[0.80428954 0.61375661],0.7199312714776632,[0.77319588 0.66666667],0.7033081388980174,[0.83798883 0.56862745],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,4
0,0.3350842980777516,0.6158245801925659,0.6152651845056567,[0.60059465 0.62993572],0.6205193031667529,[0.65869565 0.58234295],0.6189562841530054,[0.55191257 0.686     ],0.2098037213087082,0.6939501762390137,0.6704756190683975,[0.75842697 0.58252427],0.6698174706649282,[0.76271186 0.57692308],0.6712126191258627,[0.75418994 0.58823529],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.42387236216489005,0.5929456949234009,0.5885847546285282,[0.63094209 0.54622742],0.5915476936388591,[0.60032895 0.58276644],0.5894225865209473,[0.66484517 0.514     ],0.21194470524787903,0.7188612222671509,0.6561546444447888,[0.80299252 0.50931677],0.7100702397312567,[0.72522523 0.69491525],0.6507010625479241,[0.89944134 0.40196078],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.40553465047303366,0.6091516017913818,0.6090488968395945,[0.61538462 0.60271318],0.6095079332761304,[0.6344294  0.58458647],0.6097249544626594,[0.59744991 0.622     ],0.21129899919033052,0.7188612222671509,0.6912732077046102,[0.78356164 0.59898477],0.6949349179400113,[0.7688172  0.62105263],0.6886570270566328,[0.79888268 0.57843137],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(64, 64)",0.1,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,5
0,0.3595881725058836,0.6291706562042236,0.6290614202460374,[0.62269641 0.63542643],0.6319293508090189,[0.6659751 0.5978836],0.6313497267759562,[0.58469945 0.678     ],0.191455739736557,0.7402135133743286,0.7172999269580078,[0.79778393 0.63681592],0.7188367188367188,[0.79120879 0.64646465],0.7159601270675868,[0.80446927 0.62745098],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3451962085331188,0.5910391211509705,0.5840475827360072,[0.53012048 0.63797468],0.6083299911767065,[0.66483516 0.55182482],0.59840072859745,[0.44080146 0.756     ],0.2399009257555008,0.6690391302108765,0.6635163844717697,[0.70662461 0.62040816],0.6715313671835411,[0.8115942  0.53146853],0.6853981816190163,[0.62569832 0.74509804],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.37417996630949135,0.6034318804740906,0.6033709254048236,[0.60828625 0.5984556 ],0.6039939192924267,[0.62962963 0.57835821],0.6041712204007286,[0.58834244 0.62      ],0.19107242524623871,0.7224199175834656,0.6732558139534883,[0.8        0.54651163],0.7053825321597833,[0.73933649 0.67142857],0.6661463468068791,[0.87150838 0.46078431],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,6
0,0.3803387950448429,0.5729265809059143,0.5728392548101395,[0.56673114 0.57894737],0.575111501060174,[0.60412371 0.54609929],0.5748488160291438,[0.53369763 0.616     ],0.2151753455400467,0.7224199175834656,0.6898981324278438,[0.79032258 0.58947368],0.6990108337258596,[0.76165803 0.63636364],0.6851243290612334,[0.82122905 0.54901961],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.2513668361832114,0.583412766456604,0.5484225281907762,[0.42272127 0.67412379],0.6533430897283454,[0.76923077 0.53745541],0.597719489981785,[0.29143898 0.904     ],0.2388136714696884,0.6263344883918762,0.6193738147761136,[0.67084639 0.56790123],0.6268237082066869,[0.76428571 0.4893617 ],0.6371179756818929,[0.59776536 0.67647059],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.3615416761706857,0.6482364535331726,0.6481737494376048,[0.64347826 0.65286924],0.6507631076902836,[0.68518519 0.61634103],0.6502786885245901,[0.60655738 0.694     ],0.21455516517162324,0.6690391302108765,0.6116765977681027,[0.76092545 0.46242775],0.6340710932260228,[0.7047619  0.56338028],0.6094862526015993,[0.82681564 0.39215686],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,7
0,0.47795987655134764,0.5805529356002808,0.5770843412352845,[0.61538462 0.53878407],0.5788379669048236,[0.59159664 0.5660793 ],0.5775828779599271,[0.64116576 0.514     ],0.23585587739944458,0.7188612222671509,0.6742387555946878,[0.79480519 0.55367232],0.6980258899676375,[0.74271845 0.65333333],0.6675703801073503,[0.8547486  0.48039216],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3433555443497265,0.58913254737854,0.5887498101197315,[0.6012951  0.57620452],0.5888166984191621,[0.61090226 0.56673114],0.5889927140255009,[0.59198543 0.586     ],0.21250449120998383,0.7437722086906433,0.7003199431212228,[0.81443299 0.5862069 ],0.7321570972886762,[0.75598086 0.70833333],0.691340782122905,[0.88268156 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.3552775716080385,0.5929456949234009,0.5892125924315916,[0.6283725  0.55005269],0.5914792130660728,[0.60166667 0.58129176],0.5897795992714026,[0.6575592 0.522    ],0.19961248636245726,0.6975088715553284,0.6013652218902815,[0.79713604 0.40559441],0.7015752032520325,[0.69583333 0.70731707],0.6086373096724723,[0.93296089 0.28431373],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,8
0,0.42657380419618945,0.621544361114502,0.6163551561145519,[0.57173679 0.66097353],0.6389046593964627,[0.7010582  0.57675112],0.6283479052823315,[0.48269581 0.774     ],0.19619195461273192,0.7295373678207397,0.7075802387994303,[0.7877095  0.62745098],0.7075802387994303,[0.7877095  0.62745098],0.7075802387994303,[0.7877095  0.62745098],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.4547791936818291,0.583412766456604,0.5744785328465595,[0.63613655 0.51282051],0.5826173293566781,[0.58588957 0.57934509],0.5779052823315118,[0.69581056 0.46      ],0.24927332401275634,0.6725978851318359,0.619465379180405,[0.76165803 0.47727273],0.6388562475518997,[0.71014493 0.56756757],0.6164968780808413,[0.82122905 0.41176471],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.4448435639633852,0.6120114326477051,0.6083080962608154,[0.57022175 0.64639444],0.6249102656137833,[0.67839196 0.57142857],0.6179016393442622,[0.49180328 0.744     ],0.23390463888645172,0.6761565804481506,0.650597800095648,[0.74509804 0.55609756],0.6502945347441911,[0.74719101 0.55339806],0.6509201445941506,[0.74301676 0.55882353],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,9
0,0.3605359091478236,0.6081982851028442,0.6076834671420266,[0.59347181 0.62189512],0.6125799243346092,[0.64935065 0.5758092 ],0.611224043715847,[0.54644809 0.676     ],0.20666781663894654,0.708185076713562,0.678794468607115,[0.77595628 0.58163265],0.682870633746729,[0.75935829 0.60638298],0.6760598093986199,[0.79329609 0.55882353],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,10
0,0.26606450974941254,0.6072450280189514,0.5919644408190394,[0.51300236 0.67092652],0.6445751844688015,[0.73063973 0.55851064],0.617632058287796,[0.39526412 0.84      ],0.23557587563991547,0.6334519386291504,0.6045227847236456,[0.71148459 0.49756098],0.6043143885676885,[0.71348315 0.49514563],0.6047486033519553,[0.70949721 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,10
0,0.5772694857681498,0.5910391211509705,0.5905568621742235,[0.60460829 0.57650543],0.5905705391172791,[0.6119403  0.56920078],0.5907249544626594,[0.59744991 0.584     ],0.21754102706909179,0.7330960631370544,0.7040734656051224,[0.79674797 0.61139896],0.711017929438982,[0.77368421 0.64835165],0.6998302114141746,[0.82122905 0.57843137],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,10
0,0.3309095799922943,0.6129647493362427,0.6128095567111531,[0.62056075 0.60505837],0.6131256179840633,[0.63723608 0.58901515],0.613367941712204,[0.60473588 0.622     ],0.18957341313362122,0.7188612222671509,0.7002605959951931,[0.77492877 0.62559242],0.698101130787284,[0.79069767 0.60550459],0.7034176799211305,[0.75977654 0.64705882],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,11
0,0.2657400097917108,0.6596758961677551,0.6592287050357748,[0.64688427 0.67157314],0.6647989999778756,[0.70779221 0.62180579],0.6628142076502732,[0.59562842 0.73      ],0.2129825234413147,0.7259786128997803,0.6843940079058302,[0.79895561 0.5698324 ],0.7061688311688312,[0.75       0.66233766],0.6773743016759777,[0.8547486 0.5      ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,11
0,0.4743221822906943,0.5500476956367493,0.5497919576350093,[0.5390625  0.56052142],0.5527214377406933,[0.58105263 0.52439024],0.5523661202185792,[0.50273224 0.602     ],0.20729490220546723,0.7473309636116028,0.7335069792292793,[0.7942029  0.67281106],0.7300419067574646,[0.8253012  0.63478261],0.740524701500712,[0.76536313 0.71568627],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(128, 128)",0.1,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,11
0,0.38131344143082113,0.5919923782348633,0.5890341241944932,[0.62390158 0.55416667],0.5904886690780247,[0.60271647 0.57826087],0.5893151183970856,[0.64663024 0.532     ],0.18966532051563262,0.7508896589279175,0.7086443891456333,[0.81958763 0.59770115],0.7414938862307283,[0.76076555 0.72222222],0.6990360389966042,[0.88826816 0.50980392],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,12
0,0.39347203952424664,0.6139180064201355,0.6131741761018314,[0.59621137 0.63013699],0.6192111205715767,[0.65859031 0.57983193],0.6173132969034608,[0.54462659 0.69      ],0.2629691332578659,0.7046263217926025,0.6771322175616373,[0.77134986 0.58291457],0.6794038547736441,[0.76086957 0.59793814],0.6753751780041626,[0.78212291 0.56862745],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,12
0,0.822946078637067,0.557673990726471,0.5559691144487746,[0.52845528 0.58348294],0.5635085551686698,[0.59770115 0.52931596],0.5617941712204008,[0.47358834 0.65      ],0.28188174664974214,0.7153024673461914,0.6895027624309393,[0.77900552 0.6       ],0.6913683506189361,[0.7704918 0.6122449],0.6879723956621755,[0.7877095  0.58823529],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,12
0,0.40142159251605763,0.602478563785553,0.6015733659045761,[0.58258258 0.62056415],0.6079744017807456,[0.64666667 0.56928214],0.6060273224043716,[0.53005464 0.682     ],0.21347462236881257,0.7046263217926025,0.6799676166691824,[0.76880223 0.591133  ],0.6803630363036304,[0.76666667 0.59405941],0.679592507394019,[0.77094972 0.58823529],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,13
0,0.29641575497739453,0.6177312135696411,0.6047650053885132,[0.53317811 0.6763519 ],0.6528460430398534,[0.73870968 0.56698241],0.6275610200364299,[0.41712204 0.838     ],0.23523371517658234,0.6583629846572876,0.627403314917127,[0.73480663 0.52      ],0.6286941005910561,[0.72677596 0.53061224],0.6264103406725818,[0.74301676 0.50980392],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.0001,12,True,focal,2,False,,Conv1d,,concatenation,64,13
0,0.268061761470402,0.5881792306900024,0.5496028433079694,[0.41778976 0.68141593],0.6714142172291899,[0.80310881 0.53971963],0.6031657559198543,[0.28233151 0.924     ],0.23879969418048858,0.6512455344200134,0.6479957050823193,[0.68181818 0.61417323],0.6635556915544676,[0.81395349 0.51315789],0.6756490305619454,[0.58659218 0.76470588],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.0001,123,True,focal,2,False,,Conv1d,,concatenation,64,13
0,0.3860276937484741,0.6377502679824829,0.6336482611572678,[0.59488273 0.67241379],0.6540663706473475,[0.71722365 0.59090909],0.6440983606557378,[0.50819672 0.78      ],0.1991561770439148,0.7046263217926025,0.6850839173114055,[0.76353276 0.60663507],0.6831128653723064,[0.77906977 0.58715596],0.688027166173732,[0.74860335 0.62745098],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.0005,1,True,focal,2,False,,Conv1d,,concatenation,64,14
0,0.28989531275104075,0.6358436942100525,0.6324362502293157,[0.59704641 0.66782609],0.6500212068633122,[0.70927318 0.59076923],0.6417413479052824,[0.5154827 0.768    ],0.220891335606575,0.6690391302108765,0.6484523184955002,[0.73352436 0.56338028],0.6467408585055644,[0.75294118 0.54054054],0.6516595465001643,[0.7150838  0.58823529],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.0005,12,True,focal,2,False,,Conv1d,,concatenation,64,14
0,0.5165165312149945,0.5548141002655029,0.5540294866017579,[0.53532338 0.57273559],0.5588684506375551,[0.58991228 0.52782462],0.5579908925318762,[0.48998179 0.626     ],0.20646901428699493,0.7259786128997803,0.7099792239126064,[0.77809798 0.64186047],0.7070954487989887,[0.80357143 0.61061947],0.7153302661846862,[0.75418994 0.67647059],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.5,0.0005,123,True,focal,2,False,,Conv1d,,concatenation,64,14
0,0.3691861480474472,0.5910391211509705,0.5900316754076944,[0.61035422 0.56970913],0.5900621118012422,[0.60869565 0.57142857],0.5900109289617486,[0.61202186 0.568     ],0.2014802485704422,0.6975088715553284,0.6593939393939394,[0.77333333 0.54545455],0.6698979591836735,[0.73979592 0.6       ],0.6550279329608939,[0.81005587 0.5       ],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.1,0.001,1,True,focal,2,False,,Conv1d,,concatenation,64,15
0,0.2585897147655487,0.6186844706535339,0.6180426597921628,[0.60238569 0.63369963],0.6237395765568632,[0.66301969 0.58445946],0.6219562841530054,[0.55191257 0.692     ],0.23128367960453033,0.7153024673461914,0.6819468024900962,[0.78494624 0.57894737],0.6907383419689119,[0.75647668 0.625     ],0.6774290721875342,[0.81564246 0.53921569],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.1,0.001,12,True,focal,2,False,,Conv1d,,concatenation,64,15
0,0.5952329109696781,0.5748332142829895,0.5718884512898598,[0.53638254 0.60739437],0.5835750833752114,[0.62469734 0.54245283],0.5799726775956284,[0.46994536 0.69      ],0.19631268680095673,0.7437722086906433,0.7273315363881401,[0.79428571 0.66037736],0.7246145667198298,[0.8128655  0.63636364],0.7314054113265418,[0.77653631 0.68627451],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.1,0.001,123,True,focal,2,False,,Conv1d,,concatenation,64,15
0,0.3641264894429375,0.599618673324585,0.5994872913712228,[0.60674157 0.59223301],0.5998745773803031,[0.62427746 0.5754717 ],0.6000819672131148,[0.59016393 0.61      ],0.2125311702489853,0.7117437720298767,0.6736540253781633,[0.78514589 0.56216216],0.6869903857855666,[0.74747475 0.62650602],0.668309782013364,[0.82681564 0.50980392],35,15,3,gaussian_random_projection,17,,"['time_encoding', 'timeline_index']","['z_score', None]",True,384,2,True,"(12,)","(256, 256)",0.1,0.0001,1,True,focal,2,False,,Conv1d,,concatenation,64,16
